,total,reg1,reg2,reg3,reg4,reg5,reg9,setA,setE,setF,setG,setU,setZ,sex1,sex3,sex9,cor1,cor2,cor3,cor4,cor5,cor6,cor9,edu1,edu2,edu3,edu4,edu5,edu6,edu7,edu8,edu9,edu10,edu11,edu80,edu99
2020-01-01,111957,2818,-3397,32192,60161,20170,13,16485,58261,35866,-51726,53071,0,88351,23606,0,29023,6811,26842,384,1493,56355,-8951,-244,-112,770,9219,9541,10530,60063,4377,17026,-5,-173,972,-7
2020-02-01,217207,10793,2204,107425,70366,26426,-7,3666,39971,25990,9053,138528,-1,109281,107926,0,72483,12124,60302,24,1657,81266,-10649,-2400,-7445,-2667,7157,12279,18464,131354,7771,42209,4415,1504,4575,-9
2020-03-01,-295055,-7535,-70004,-159720,-40221,-17571,-4,-8575,-42788,-17646,-89225,-136821,0,-153290,-141765,0,-133787,-19210,-107376,-1934,-2428,-15968,-14352,-3534,-16325,-11287,-17994,-33478,-27798,-181275,-8484,1259,1376,316,2174,-5
2020-04-01,-981834,-32789,-153334,-505531,-225073,-65107,0,-6833,-217738,-75300,-265612,-416351,0,-550840,-430994,0,-444007,-57518,-322619,-4657,-2496,-143241,-7296,-2963,-22121,-18816,-54723,-90307,-86682,-601359,-40335,-60799,-543,-211,-2974,-1
2020-05-01,-398443,-12755,-64149,-211141,-91232,-19235,69,14792,-107815,-23958,-106402,-175059,-1,-224223,-174220,0,-208367,-22316,-117870,-2545,-1075,-41472,-4798,-193,-6764,-7588,-27334,-44214,-41864,-219190,-17372,-30879,-569,-167,-2305,-4
2020-06-01,-54034,5518,-10635,-47029,-6764,4740,136,37710,-8936,15568,-27560,-70816,0,6647,-60681,0,-66929,-1030,577,-920,-265,18918,-4385,1172,4850,523,-4564,-11479,-12989,-9384,-2457,-13989,-2552,-1145,-2012,-8
2020-07-01,108410,15771,19988,33731,25929,12989,2,22470,49444,40722,20805,-25031,0,108701,-291,0,-1539,8468,51935,-443,-386,55516,-5141,1699,5420,-261,5294,5464,3188,100287,5161,-11329,-2933,-934,-2643,-3
2020-08-01,214523,22841,55683,86373,36656,12962,8,8025,90198,50520,43706,22074,0,173975,40548,0,38615,13507,91431,359,221,76235,-5845,2729,5984,803,4452,8660,11570,165370,11341,1820,586,359,851,-2
2020-09-01,299373,21822,86278,118147,58123,14993,10,5321,111316,47379,66418,68939,0,213411,85962,0,64882,19600,128808,909,209,91705,-6740,4965,13094,2711,6175,11246,19850,212109,15882,12028,275,69,970,-1
2020-10-01,366019,20811,64635,173157,86095,21157,164,-4501,84138,35035,110621,140726,0,216844,149175,0,96267,23298,131646,1419,543,120958,-8112,888,116,-799,5240,13621,28482,282179,19430,14881,393,112,1479,-3
2020-11-01,376122,14553,65191,198076,85113,13022,167,-21816,46218,16052,176920,158748,0,166487,209635,0,109447,26152,128432,1802,146,117877,-7734,307,-4781,-4559,-875,7984,25735,313242,20259,17330,106,67,1311,-4
2020-12-01,-157508,-11436,-13154,-79969,-35972,-17185,208,-30180,-51127,-52769,46854,-70286,0,-122055,-35453,0,-110913,-3379,-52026,-1107,-806,17728,-7005,-1860,-14316,-11613,-22712,-27319,-20847,1327,44,-47409,-4936,-1741,-6123,-3
2021-01-01,254293,8256,27262,98680,82086,37124,885,36487,91008,44293,10114,72391,0,166837,87456,0,73982,12740,60390,609,2846,112612,-8886,224,1426,4871,14181,20737,19277,159770,12352,20552,-375,-332,1620,-10
2021-02-01,397463,13603,37637,202319,101239,41772,893,24850,93626,45156,67707,166124,0,220465,176998,0,119011,24475,114504,734,390,147731,-9382,-410,-1686,1746,14666,29439,36230,257125,13214,40261,2228,895,3757,-2
2021-03-01,152793,9353,-1473,89186,41217,13796,714,3242,37453,24334,6454,81310,0,92420,60373,0,23545,10656,38197,233,-786,89560,-8612,-1454,-7011,-6342,-723,1091,9796,108478,8852,33471,1433,456,4750,-4
2021-04-01,88883,9740,13396,32518,15365,17180,684,10420,14857,22547,1666,39393,0,62535,26348,0,-9563,4678,36739,-20,-1245,64877,-6583,-546,-2223,-2886,-4859,-4129,2021,68080,7862,21541,768,275,2979,0
2021-05-01,265683,18390,35530,149668,34340,26843,912,38131,42535,21950,59076,103992,-1,145252,120431,0,56689,15681,91244,633,-10,107013,-5567,2714,9746,7050,4541,8620,17035,172233,14789,25442,515,337,2664,-3
2021-06-01,314230,24163,49110,160355,42305,37235,1062,38540,50970,24050,76297,124373,0,174364,139866,0,68574,13917,109159,897,32,125734,-4083,1715,7858,4102,6461,14517,22590,219659,14981,21411,-527,-294,1758,-1
2021-07-01,303763,23542,52400,152281,40953,33931,656,25395,57982,29976,74990,115421,-1,174438,129325,0,61583,13229,106684,988,440,126799,-5960,1175,5034,1643,8356,13481,29022,222910,13596,12038,-1988,-748,-753,-3
2021-08-01,383096,22158,85190,187941,55732,31417,658,10158,73605,35404,81334,182596,-1,204760,178336,0,93548,18347,131030,1854,377,142309,-4369,2523,7625,1448,9552,15536,37475,253295,16058,30553,2759,1038,5236,-2
2021-09-01,324784,17539,94307,142080,47898,21905,1055,10875,76475,26725,64452,146257,0,180242,144542,0,62803,13270,121730,978,418,129945,-4360,5118,13701,3086,10418,11210,32358,210078,13612,20996,910,290,3008,-1
2021-10-01,247953,9132,50737,117617,52318,17133,1016,-6323,25883,15924,70048,142423,-2,101284,146669,0,45033,12390,75828,606,641,116898,-3443,721,-1569,-1914,5297,5424,26689,183699,11795,15267,571,90,1887,-4
2021-11-01,305960,16709,54909,169336,51265,13338,403,-19122,5738,9188,137594,172562,0,112736,193224,0,64613,20406,99315,1522,113,123583,-3592,192,-3620,-4227,-1022,4206,22785,253566,15427,16515,319,90,1731,-2
2021-12-01,-283510,-14251,-17862,-146193,-82382,-22732,-90,-27575,-93824,-54273,6289,-114126,-1,-174822,-108688,0,-166760,-13395,-91394,-1562,-1085,-7840,-1474,-1478,-14447,-11622,-24223,-33661,-23811,-85909,-9829,-64543,-4817,-2021,-7149,0
2022-01-01,150355,2536,3734,48447,59653,33844,2141,24377,51789,36162,-63486,101515,-2,105395,44960,0,21634,5869,25518,286,3056,95773,-1781,344,528,2907,10784,12238,8353,86639,2561,22856,320,-52,2877,0
